ENSEMBL_GENE	SYMBOL	ENSEMBL_PROTEIN	ENSEMBL_TRANSCRIPT
ENSG00000142208	AKT1	ENSP00000451828	ENST00000554581
ENSG00000184507	NUTM1	ENSP00000444896	ENST00000537011
ENSG00000128944	KNSTRN	ENSP00000249776	ENST00000249776
ENSG00000137812	KNL1	ENSP00000335463	ENST00000346991
ENSG00000174197	MGA	ENSP00000219905	ENST00000219905
ENSG00000166710	B2M	ENSP00000497910	ENST00000648006
ENSG00000138592	USP8	ENSP00000379721	ENST00000396444
ENSG00000197535	MYO5A	ENSP00000382177	ENST00000399231
ENSG00000140262	TCF12	ENSP00000331057	ENST00000333725
ENSG00000169032	MAP2K1	ENSP00000302486	ENST00000307102
ENSG00000166949	SMAD3	ENSP00000332973	ENST00000327367
ENSG00000140464	PML	ENSP00000268058	ENST00000268058
ENSG00000169375	SIN3A	ENSP00000378402	ENST00000394947
ENSG00000173546	CSPG4	ENSP00000312506	ENST00000308508
ENSG00000140538	NTRK3	ENSP00000354207	ENST00000360948
ENSG00000182054	IDH2	ENSP00000331897	ENST00000330062
ENSG00000197299	BLM	ENSP00000347232	ENST00000355112
ENSG00000185442	FAM174B	ENSP00000329040	ENST00000327355
ENSG00000173575	CHD2	ENSP00000377747	ENST00000394196
ENSG00000103126	AXIN1	ENSP00000262320	ENST00000262320
ENSG00000103197	TSC2	ENSP00000219476	ENST00000219476
ENSG00000131653	TRAF7	ENSP00000318944	ENST00000326181
ENSG00000005339	CREBBP	ENSP00000262367	ENST00000262367
ENSG00000090447	TFAP4	ENSP00000204517	ENST00000204517
ENSG00000078328	RBFOX1	ENSP00000391269	ENST00000422070
ENSG00000187555	USP7	ENSP00000343535	ENST00000344836
ENSG00000183454	GRIN2A	ENSP00000332549	ENST00000330684
ENSG00000179583	CIITA	ENSP00000485010	ENST00000618327
ENSG00000185338	SOCS1	ENSP00000496577	ENST00000644787
ENSG00000048471	SNX29	ENSP00000456480	ENST00000566228
ENSG00000085721	RRN3	ENSP00000198767	ENST00000198767
ENSG00000133392	MYH11	ENSP00000379616	ENST00000396324
ENSG00000005187	ACSM3	ENSP00000289416	ENST00000289416
ENSG00000166501	PRKCB	ENSP00000496129	ENST00000643927
ENSG00000166164	BRD7	ENSP00000378181	ENST00000394689
ENSG00000083799	CYLD	ENSP00000392025	ENST00000427738
ENSG00000140937	CDH11	ENSP00000268603	ENST00000268603
ENSG00000067955	CBFB	ENSP00000415151	ENST00000412916
ENSG00000102974	CTCF	ENSP00000494538	ENST00000646076
ENSG00000039068	CDH1	ENSP00000261769	ENST00000261769
ENSG00000180917	CMTR2	ENSP00000411148	ENST00000434935
ENSG00000140836	ZFHX3	ENSP00000493252	ENST00000641206
ENSG00000178573	MAF	ENSP00000327048	ENST00000326043
ENSG00000167522	ANKRD11	ENSP00000301030	ENST00000301030
ENSG00000129204	USP6	ENSP00000460380	ENST00000574788
ENSG00000141510	TP53	ENSP00000269305	ENST00000269305
ENSG00000179094	PER1	ENSP00000314420	ENST00000317276
ENSG00000065559	MAP2K4	ENSP00000410402	ENST00000415385
ENSG00000141027	NCOR1	ENSP00000268712	ENST00000268712
ENSG00000154803	FLCN	ENSP00000285071	ENST00000285071
ENSG00000196712	NF1	ENSP00000351015	ENST00000358273
ENSG00000178691	SUZ12	ENSP00000316578	ENST00000322652
ENSG00000270647	TAF15	ENSP00000474096	ENST00000605844
ENSG00000275023	MLLT6	ENSP00000479910	ENST00000621332
ENSG00000167258	CDK12	ENSP00000398880	ENST00000447079
ENSG00000141736	ERBB2	ENSP00000269571	ENST00000269571
ENSG00000161405	IKZF3	ENSP00000344544	ENST00000346872
ENSG00000131747	TOP2A	ENSP00000411532	ENST00000423485
ENSG00000126353	CCR7	ENSP00000246657	ENST00000246657
ENSG00000173757	STAT5B	ENSP00000293328	ENST00000293328
ENSG00000168610	STAT3	ENSP00000264657	ENST00000264657
ENSG00000012048	BRCA1	ENSP00000418960	ENST00000471181
ENSG00000175832	ETV4	ENSP00000321835	ENST00000319349
ENSG00000108883	EFTUD2	ENSP00000392094	ENST00000426333
ENSG00000121067	SPOP	ENSP00000377001	ENST00000393328
ENSG00000108821	COL1A1	ENSP00000225964	ENST00000225964
ENSG00000153944	MSI2	ENSP00000284073	ENST00000284073
